s_m,x_center_m,y_center_m,heading_rad,curvature_1pm,x_left_m,y_left_m,x_right_m,y_right_m
447.9142054469205,210.0,126.0,-1.5707963267948966,0.0,214.0,126.0,206.0,126.0
449.9540513520914,210.0,124.0,-1.5707963267948966,0.0,214.0,124.0,206.0,124.0
451.9628520736541,210.0,122.0,-1.5707963267948966,0.0,214.0,122.0,206.0,122.0
453.96309875684597,210.0,120.0,-1.5707963267948966,0.0,214.0,120.0,206.0,120.0
455.96311646967644,210.0,118.0,-1.5707963267948966,0.0,214.0,118.0,206.0,118.0
457.9631177414096,210.0,116.0,-1.5707963267948966,0.0,214.0,116.0,206.0,116.0
459.96311783271597,210.0,114.0,-1.5707963267948966,0.0,214.0,114.0,206.0,114.0
461.9631178392715,210.0,112.0,-1.5707963267948966,0.0,214.0,112.0,206.0,112.0
463.96311783974215,210.0,110.0,-1.5707963267948966,0.0,214.0,110.0,206.0,110.0
465.9631178397759,210.0,108.0,-1.5707963267948966,0.0,214.0,108.0,206.0,108.0
467.96311783977836,210.0,106.0,-1.5707963267948966,0.0,214.0,106.0,206.0,106.0
469.96311783977853,210.0,104.0,-1.5707963267948966,0.0,214.0,104.0,206.0,104.0
471.96311783977853,210.0,102.0,-1.5707963267948966,0.0,214.0,102.0,206.0,102.0
473.96311783977853,210.0,100.0,-1.5707963267948966,0.0,214.0,100.0,206.0,100.0
475.96311783977853,210.0,98.0,-1.5707963267948966,0.0,214.0,98.0,206.0,98.0
477.96311783977853,210.0,96.0,-1.5707963267948966,0.0,214.0,96.0,206.0,96.0
479.96311783977853,210.0,94.0,-1.5707963267948966,0.0,214.0,94.0,206.0,94.0
481.96311783977853,210.0,92.0,-1.5707963267948966,0.0,214.0,92.0,206.0,92.0
483.96311783977853,210.0,90.0,-1.5707963267948966,0.0,214.0,90.0,206.0,90.0
485.96311783977853,210.0,88.0,-1.5707963267948966,0.0,214.0,88.0,206.0,88.0
487.96311783977853,210.0,86.0,-1.5707963267948966,0.0,214.0,86.0,206.0,86.0
489.96311783977853,210.0,84.0,-1.5707963267948966,0.0,214.0,84.0,206.0,84.0
491.96311783977853,210.0,82.0,-1.5707963267948966,0.0,214.0,82.0,206.0,82.0
493.96311783977853,210.0,80.0,-1.5707963267948966,0.0,214.0,80.0,206.0,80.0
495.96311783977853,210.0,78.0,-1.5707963267948966,0.0,214.0,78.0,206.0,78.0
497.96311783977853,210.0,76.0,-1.5707963267948966,0.0,214.0,76.0,206.0,76.0
499.96311783977853,210.0,74.0,-1.5707963267948966,0.0,214.0,74.0,206.0,74.0
501.96311783977853,210.0,72.0,-1.5707963267948966,0.0,214.0,72.0,206.0,72.0
503.96311783977853,210.0,70.0,-1.5707963267948966,0.0,214.0,70.0,206.0,70.0
505.96311783977853,210.0,68.0,-1.5707963267948966,0.0,214.0,68.0,206.0,68.0
507.96311783977853,210.0,66.0,-1.5707963267948966,0.0,214.0,66.0,206.0,66.0
509.96311783977853,210.0,64.0,-1.5707963267948966,0.0,214.0,64.0,206.0,64.0
511.96311783977853,210.0,62.0,-1.5707963267948966,0.0,214.0,62.0,206.0,62.0
513.9631178397785,210.0,60.0,-1.5707963267948966,0.0,214.0,60.0,206.0,60.0
515.9631178397785,210.0,58.0,-1.5707963267948966,0.0,214.0,58.0,206.0,58.0
517.9631178397785,210.0,56.0,-1.5707963267948966,0.0,214.0,56.0,206.0,56.0
519.9631178397785,210.0,54.0,-1.5707963267948966,0.0,214.0,54.0,206.0,54.0
521.9631178397785,210.0,52.0,-1.5707963267948966,0.0,214.0,52.0,206.0,52.0
523.9631178397785,210.0,50.0,-1.5707963267948966,0.0,214.0,50.0,206.0,50.0
525.9631178397785,210.0,48.0,-1.5707963267948966,0.0,214.0,48.0,206.0,48.0
527.9631178397785,210.0,46.0,-1.5707963267948966,0.0,214.0,46.0,206.0,46.0
529.9631178397785,210.0,44.0,-1.5707963267948966,0.0,214.0,44.0,206.0,44.0
531.9631178397785,210.0,42.0,-1.5707963267948966,0.0,214.0,42.0,206.0,42.0
533.9631178397785,210.0,40.0,-1.5707963267948966,0.0,214.0,40.0,206.0,40.0
535.9631178397785,210.0,38.0,-1.5707963267948966,0.0,214.0,38.0,206.0,38.0
537.9631178397785,210.0,36.0,-1.5707963267948966,0.0,214.0,36.0,206.0,36.0
539.9631178397785,210.0,34.0,-1.5707963267948966,0.0,214.0,34.0,206.0,34.0
541.9631178397785,210.0,32.0,-1.5707963267948966,0.0,214.0,32.0,206.0,32.0
543.9631178397785,210.0,30.0,-1.5707963267948966,0.0,214.0,30.0,206.0,30.0
545.9631178397785,210.0,28.0,-1.5707963267948966,0.0,214.0,28.0,206.0,28.0
547.9631178397785,210.0,26.0,-1.5707963267948966,0.0,214.0,26.0,206.0,26.0
549.9631178397785,210.0,24.0,-1.5707963267948966,0.0,214.0,24.0,206.0,24.0
