s_m,x_path_m,y_path_m,offset_m,curvature_1pm,speed_mps,ax_mps2,ay_mps2
87.0,-2.419380943788788,87.0,2.419380943788788,-0.0017721332105199556,14.652194500299407,0.0,-0.3804536146521437
88.0,-2.500525977267556,88.0,2.500525977267556,-0.0019358036300667347,14.652194500299407,0.0,-0.4155914938807232
89.0,-2.5797165026155118,89.0,2.5797165026155118,-0.0020996808047717493,14.652194500299407,0.0,-0.45077376071336744
90.0,-2.6567880781858246,90.0,2.6567880781858246,-0.002263771913503234,14.652194500299407,0.0,-0.48600195635835186
91.0,-2.731576262331668,91.0,2.731576262331668,-0.002428081620992426,14.652194500299407,0.0,-0.5212770822719156
92.0,-2.803916613406212,92.0,2.803916613406212,-0.0025926118691244177,14.652194500299407,0.0,-0.5565995553511625
93.0,-2.873644689762628,93.0,2.873644689762628,-0.0027573616661189047,14.652194500299407,-1.4600096420736008e-07,-0.5919691626739488
94.0,-2.9405960497540877,94.0,2.9405960497540877,-0.002922326873796743,14.65219448037052,-2.3029465978652297e-07,-0.6273850141211711
95.0,-3.0046062517337635,95.0,3.0046062517337635,-0.0030874999932052386,14.652194468864572,-1.6858739115832577e-07,-0.6628455020424558
96.0,-3.0655108540548253,96.0,3.0655108540548253,-0.003252869948958134,14.652194457358624,-1.6858739115832577e-07,-0.6983482480177347
97.0,-3.1231454150704447,96.99999999999999,3.1231454150704447,-0.003418421872735793,14.652194445852675,-8.429369557916289e-08,-0.7338900600148135
98.0,-3.177345493133794,98.0,3.177345493133794,-0.003584136886486567,14.652194445852675,0.0,-0.7694668863734572
99.0,-3.2279466465980438,99.0,3.2279466465980438,-0.0037499918859721167,14.652194445852675,0.0,-0.8050737658218367
100.0,-3.2747844338163663,100.0,3.2747844338163663,-0.003915959325406998,14.652194445852675,0.0,-0.8407047846433642
101.0,-3.3176944131419313,101.0,3.3176944131419313,-0.004082007004055916,14.652194445852675,0.0,-0.8763530297651543
102.0,-3.3565121429279117,102.00000000000001,3.3565121429279117,-0.004248097855770378,14.652194445852675,-8.429369557916289e-08,-0.9120105435743223
103.0,-3.3910731815274784,103.0,3.3910731815274784,-0.004414189742569183,14.652194434346727,-8.429369557916289e-08,-0.9476682781140842
104.0,-3.421213087293803,104.0,3.421213087293803,-0.0045802352534938615,14.652194434346727,0.0,-0.9833160577981033
105.0,-3.446767418580057,105.0,3.446767418580057,-0.004746181510099755,14.652194434346727,-8.429369557916289e-08,-1.0189425288898635
106.0,-3.4675717337394127,106.0,3.4675717337394127,-0.004911969980074808,14.652194422840779,-1.6858739115832577e-07,-1.0545351236182983
107.0,-3.483461591125039,107.0,3.483461591125039,-0.005077536300610257,14.65219441133483,-8.429369557916289e-08,-1.0900800256823864
108.0,-3.4942725490901085,108.0,3.4942725490901085,-0.00524281011327845,14.65219441133483,-1.4600096420736008e-07,-1.1255621318243585
109.0,-3.499840165987793,109.0,3.499840165987793,-0.005407714912301821,14.652194391405944,-1.4600096420736008e-07,-1.1609650124492472
110.0,-3.500000000171265,109.99999999999999,3.500000000171265,-0.005572167908220989,14.652194391405944,0.0,-1.1962708999730673
111.0,-3.494587609993693,111.0,3.494587609993693,-0.0057360799090875976,14.652194391405944,0.0,-1.231460642999976
112.0,-3.4834385538082504,112.0,3.4834385538082504,-0.0058993552214160125,14.652194391405944,0.0,-1.2665136974017153
113.0,-3.4663946002258914,113.0,3.4663946002258914,-0.005895938756952272,14.652194391405944,-8.429368847373553e-08,-1.2657802275770291
114.0,-3.4434596831074313,114.0,3.4434596831074313,-0.005707628608057908,14.652194379899996,-8.429368847373553e-08,-1.2253525222878494
115.0,-3.4148114275975394,115.00000000000001,3.4148114275975394,-0.005519007764280616,14.652194379899996,-1.4600096420736008e-07,-1.1848581168963936
116.0,-3.3806359777130157,116.0,3.3806359777130157,-0.005330173802684081,14.652194359971109,-2.3029465978652297e-07,-1.1443179548094284
117.0,-3.341119477470658,117.0,3.341119477470658,-0.005141215535614496,14.65219434846516,-1.6858739115832577e-07,-1.1037511074679194
118.0,-3.296448070887267,118.0,3.296448070887267,-0.004952213259323562,14.652194336959212,-8.429369557916289e-08,-1.0631748120549818
119.0,-3.2468079019796408,119.0,3.2468079019796408,-0.004763239021839654,14.652194336959212,0.0,-1.022604537937257
120.0,-3.19238511476458,120.0,3.19238511476458,-0.004574356906872014,14.652194336959212,-8.429369557916289e-08,-0.9820540413076555
121.0,-3.133365853258882,121.0,3.133365853258882,-0.004385623330785873,14.652194325453264,-1.6858739115832577e-07,-0.9415354325363118
122.0,-3.0699362614793473,122.0,3.0699362614793473,-0.00419708734994126,14.652194313947316,-8.429369557916289e-08,-0.9010592449819865
123.0,-3.002282483442775,122.99999999999999,3.002282483442775,-0.004008790975941936,14.652194313947316,0.0,-0.8606344993328278
124.0,-2.930590663165963,124.0,2.930590663165963,-0.003820769496590239,14.652194313947316,-8.429368847373553e-08,-0.8202687699354143
125.0,-2.8550469446657125,125.0,2.8550469446657125,-0.0036330518005868334,14.652194302441368,-1.6858738405289841e-07,-0.7799682575874227
126.0,-2.7758374719588215,126.0,2.7758374719588215,-0.0034456607042488985,14.65219429093542,-8.429369557916289e-08,-0.7397378620022758
127.0,-2.6931483890620895,127.0,2.6931483890620895,-0.0032586132787453233,14.65219429093542,-8.429369557916289e-08,-0.6995812492329386
128.0,-2.607165839992316,128.0,2.607165839992316,-0.003071921176561357,14.652194279429471,-8.429369557916289e-08,-0.659500918653405
129.0,-2.5180759687662992,129.0,2.5180759687662992,-0.002885590956107347,14.652194279429471,0.0,-0.6194982804021638
130.0,-2.4260649194008392,130.0,2.4260649194008392,-0.002699624403576069,14.652194279429471,-8.429369557916289e-08,-0.5795737168524991
131.0,-2.3313188359127346,131.0,2.3313188359127346,-0.0025140188513303554,14.652194267923523,-2.3029465978652297e-07,-0.5397266544502676
132.0,-2.2340238623187862,132.0,2.2340238623187862,-0.002328767492267192,14.652194247994636,-1.4600096420736008e-07,-0.4999556321981053
133.0,-2.1343661426357916,133.0,2.1343661426357916,-0.0021438596897562522,14.652194247994636,0.0,-0.4602583684696778
134.0,-2.03253182088055,134.0,2.03253182088055,-0.001959281282890086,14.652194247994636,0.0,-0.42063182163693574
135.0,-1.928707041069861,135.0,1.928707041069861,-0.0017750148869102487,14.652194247994636,0.0,-0.3810722594217844
136.0,-1.8230779472205239,136.0,1.8230779472205239,-0.00159104018878883,14.652194247994636,0.0,-0.341575320885339
137.0,-1.715830683349338,137.0,1.715830683349338,-0.0014073342380486618,14.652194247994636,0.0,-0.3021360788631831
138.0,-1.6071513934731028,138.0,1.6071513934731028,-0.0012238717329982438,14.652194247994636,0.0,-0.2627491014162281
139.0,-1.4972262216086163,139.0,1.4972262216086163,-0.0010406253026397812,14.652194247994636,0.0,-0.22340851235264642
140.0,-1.3862413117726788,140.0,1.3862413117726788,-0.0008575657845809865,14.652194247994636,0.0,-0.18410805089186594
141.0,-1.2743828079820891,141.0,1.2743828079820891,-0.000674662499344043,14.652194247994636,-1.4600095710193273e-07,-0.14484113055508266
142.0,-1.161836854253647,142.0,1.161836854253647,-0.000491883521518678,14.65219422806575,-1.4600095710193273e-07,-0.10560089709098325
143.0,-1.0487895946041506,143.0,1.0487895946041506,-0.0003091959482511685,14.65219422806575,0.0,-0.06638028737252744
144.0,-0.9354271730503998,144.0,0.9354271730503998,-0.00012656616559750746,14.65219422806575,0.0,-0.027172084535780103
145.0,-0.8219357336091946,145.0,0.8219357336091946,5.6039886702665425e-05,14.65219422806575,0.0,0.0120310237074161
146.0,-0.7085014202973323,146.0,0.7085014202973323,0.00023865645145434725,14.65219422806575,0.0,0.05123638883514168
147.0,-0.595310377131613,147.0,0.595310377131613,0.0004213176906477709,14.65219422806575,-8.429369557916289e-08,0.09045134497561436
148.0,-0.4825487481288373,148.0,0.4825487481288373,0.0006040574219163065,14.652194216559801,-8.429369557916289e-08,0.1296831521245075
149.0,-0.370402677305802,149.0,0.370402677305802,0.0011932913437821052,14.652194216559801,0.0,0.25618389452715584
150.0,-0.24899320029034655,151.0051175324739,0.2590583086793079,-0.018776852181835682,14.652194216559801,0.0,-4.031142221862755
151.0,-0.10856097552076233,152.00541466728868,0.14870178626615438,-0.018910650413772098,14.652194216559801,0.0,-4.059866935501989
152.0,0.05056555740293851,153.00056937126575,0.0395192540831395,-0.018764284047710893,14.652194216559801,0.0,-4.028444009423852
153.0,0.22805349290954963,153.99027318103478,-0.0683031438529369,-0.018615410056289815,14.652194216559801,0.0,-3.99648272929324
154.0,0.4235662930982693,154.97423624386994,-0.1745792635252763,-0.018463949896873666,14.652194216559801,0.0,-3.963966233043504
155.0,0.6367646193740868,155.9521873031805,-0.27912296091707844,-0.018309834067907017,14.652194216559801,0.0,-3.930879599608437
156.0,0.8673071610256249,156.92387365231318,-0.3817480920115437,-0.018153002891777768,14.652194216559801,0.0,-3.897210016992742
157.0,1.1148514596642296,157.88906105681184,-0.4822685127918751,-0.01799340732868542,14.652194216559801,0.0,-3.8629469569988046
158.0,1.3790547284484784,158.84753364531196,-0.5804980792412713,-0.017831009817560407,14.652194216559801,0.0,-3.8280823557609702
159.0,1.6595746650245027,159.79909376928143,-0.6762506473429339,-0.017665785139185115,14.652194216559801,-8.429369557916289e-08,-3.792610799046227
160.0,1.9560702571195974,160.74356183185495,-0.7693400730800635,-0.017497721295695667,14.652194205053853,-1.6858738405289841e-07,-3.7565297051718383
161.0,2.268202579735399,161.68077608603946,-0.8595802124358611,-0.017326820399602358,14.652194193547905,-8.429368847373553e-08,-3.7198395336809065
162.0,2.5956355828954196,162.6105924026044,-0.9467849213935273,-0.01715309956436209,14.652194193547905,0.0,-3.682543964393096
163.0,2.938036868912713,163.53288400800153,-1.0307680559362624,-0.016976591787379456,14.652194193547905,0.0,-3.644650075515642
164.0,3.2950784581541592,164.44754119269237,-1.1113434720472695,-0.01679734681511828,14.652194193547905,0.0,-3.60616854695741
165.0,3.666437542290401,165.3544709902938,-1.1883250257097462,-0.016615431978790014,14.652194193547905,0.0,-3.5671138338403683
166.0,4.0517972240334075,166.25359682798364,-1.261526572906896,-0.016430932987872158,14.652194193547905,0.0,-3.5275043368575156
167.0,4.45084724237782,167.1448581486403,-1.3307619696219168,-0.01624395466752434,14.652194193547905,0.0,-3.4873625605863756
168.0,4.863284682377406,168.02821000522087,-1.3958450718380124,-0.016054621624843706,14.652194193547905,0.0,-3.446715256525229
169.0,5.288815035460945,168.90362247276076,-1.4565901339478338,-0.015920000636379963,14.652194193547905,-8.429369557916289e-08,-3.4178139080145624
170.0,5.727220198841014,169.77105007935614,-1.5128855580782867,-0.015998135369993723,14.652194182041956,-8.429369557916289e-08,-3.4345883981335334
171.0,6.1784342885814665,170.63038774276822,-1.5647803800675177,-0.016076452037564016,14.652194182041956,0.0,-3.451401952438238
172.0,6.642411911859924,171.4815179100019,-1.612344645627159,-0.01615489708475517,14.652194182041956,-8.429369557916289e-08,-3.4682430681522054
173.0,7.1191083581488765,172.3243182735768,-1.6556484004688434,-0.016233416228429637,14.652194170536008,-8.429369557916289e-08,-3.4851000859291488
174.0,7.608479299186182,173.1586617069203,-1.6947616903042033,-0.016311954683652357,14.652194170536008,0.0,-3.5019612550874983
175.0,8.110480487146669,173.98441621218342,-1.729754560844872,-0.016390457388023406,14.652194170536008,0.0,-3.5188147490101187
176.0,8.625067451447778,174.80144488050755,-1.7606970578024812,-0.01646886922204259,14.652194170536008,-1.4600095710193273e-07,-3.5356487342682272
177.0,9.152195194621997,175.6096058647579,-1.7876592268886644,-0.016547135224294827,14.652194150607121,-1.4600095710193273e-07,-3.5524514017082343
178.0,9.691817887688506,176.4087523647255,-1.8107111138150542,-0.016625200800337834,14.652194150607121,0.0,-3.5692110499059457
179.0,10.243888565455615,177.19873262478617,-1.8299227642932832,-0.01670301192427254,14.652194150607121,0.0,-3.5859160705964457
180.0,10.808358822184232,177.9793899439905,-1.8453642240349841,-0.016780515332079634,14.652194150607121,0.0,-3.602555028698222
181.0,11.385178508041122,178.75056269854701,-1.8571055387517899,-0.016857658705912115,14.652194150607121,0.0,-3.6191166922604645
182.0,11.97429542676852,179.5120843766454,-1.8652167541553328,-0.01693439084864131,14.652194150607121,0.0,-3.635590069935785
183.0,12.575655034994291,180.26378362555505,-1.8697679159572458,-0.017010661848062398,14.652194150607121,0.0,-3.6519644462329772
184.0,13.189200143604099,181.0054843109195,-1.8708290698691616,-0.017086423230272468,14.652194150607121,0.0,-3.668229414445261
185.0,13.814870621593665,181.73700558815534,-1.8684702616027127,-0.01716162810183975,14.652194150607121,-8.429369557916289e-08,-3.6843749071721366
186.0,14.452603102815885,182.45816198585064,-1.8627615368695318,-0.017236231280484706,14.652194139101173,-8.429369557916289e-08,-3.7003912185632677
187.0,15.102330696033036,183.16876350104454,-1.8537729413812523,-0.017310189414092174,14.652194139101173,0.0,-3.7162690530903704
188.0,15.763982698681033,183.86861570625862,-1.8415745208495056,-0.017383461087967338,14.652194139101173,0.0,-3.731999513778959
189.0,16.624397056498044,184.73809680582687,-1.826236320985925,-0.01745600692033661,14.652194139101173,0.0,-3.7475741458823557
190.0,17.31330213324442,185.41215689780137,-1.807828387502144,-0.017527789646176718,14.652194139101173,0.0,-3.762984949092221
191.0,18.013832628143707,186.07479644231412,-1.7864207661097944,-0.017598774189531746,14.652194139101173,0.0,-3.7782243930640638
192.0,18.72589868724186,186.7258050938002,-1.7620835025205093,-0.017668927724546684,14.652194139101173,-8.429369557916289e-08,-3.7932854305203416
193.0,19.449405263709828,187.3649688160127,-1.7348866424459208,-0.01773821972550935,14.652194127595225,-8.429369557916289e-08,-3.8081615020129194
194.0,20.18425186305921,187.99207005749577,-1.7049002315976625,-0.017806622006247684,14.652194127595225,0.0,-3.822846568281604
195.0,20.930332294817575,188.6068879375165,-1.6721943156873667,-0.017874108749278535,14.652194127595225,-1.4600095710193273e-07,-3.8373350806962256
196.0,21.687534431020794,189.20919844222738,-1.636838940426666,-0.01794065652514588,14.652194107666338,-1.4600095710193273e-07,-3.8516219987846023
197.0,22.45573997187217,189.79877463082008,-1.598904151527193,-0.018006244302421825,14.652194107666338,-8.429369557916289e-08,-3.865702828293452
198.0,23.234824218910212,190.37538685141965,-1.5584599947005804,-0.018070853448872302,14.65219409616039,-8.429369557916289e-08,-3.8795735525966286
199.0,24.02465585601892,190.9388029664591,-1.5155765156584615,-0.018134467724312427,14.65219409616039,0.0,-3.893230697305558
200.0,24.825096738605584,191.48878858726275,-1.4703237601124686,-0.018197073265692823,14.65219409616039,0.0,-3.906671280135393
201.0,25.636001691262678,192.025107317557,-1.4227717737742338,-0.01825865856496989,14.65219409616039,0.0,-3.919892830461173
202.0,26.457218314221265,192.54752100561834,-1.3729906023553906,-0.01831921444031878,14.65219409616039,0.0,-3.932893377066377
203.0,27.288586798893412,193.05579000475686,-1.3210502915675715,-0.018378734001249685,14.65219409616039,0.0,-3.9456714406538564
204.0,28.129939752792826,193.54967344182722,-1.2670208871224093,-0.018437212608184757,14.65219409616039,0.0,-3.958226025167526
205.0,28.981102034111068,194.02892949344692,-1.2109724347315365,-0.018494647827046604,14.65219409616039,0.0,-3.970556608043119
206.0,29.841890596218473,194.4933156695954,-1.1529749801065856,-0.018551039379398802,14.65219409616039,0.0,-3.982663129504014
207.0,30.712114342347164,194.94258910425873,-1.0930985689591899,-0.01860638908866591,14.65219409616039,0.0,-3.9945459810153783
208.0,31.591573990703438,195.37650685277546,-1.0314132470009818,-0.018660700822944253,14.65219409616039,0.0,-4.006205993006404
209.0,32.48006195024593,195.7948261955331,-0.9679890599435941,-0.018713980434897,14.65219409616039,-1.4600095710193273e-07,-4.017644421966569
210.0,33.37736220735461,196.19730494765653,-0.9028960534986592,-0.018766235699206747,14.652194076231503,-1.4600095710193273e-07,-4.028862926057986
211.0,34.28325022360452,196.58370177432258,-0.8362042733778099,-0.018817476248037302,14.652194076231503,0.0,-4.039863595068181
212.0,35.19749284484674,196.95377651132821,-0.76798376529268,-0.018867713504934016,14.652194076231503,0.0,-4.050648870552416
213.0,36.11984822178708,197.30729049053468,-0.6983045749548991,-0.018916960617567872,14.652194076231503,0.0,-4.061221575141985
214.0,37.05006574224124,197.64400686980167,-0.627236748076103,-0.01896523238970491,14.652194076231503,0.0,-4.0715848870099185
215.0,37.987885975233176,197.96369096702242,-0.554850330367924,-0.019012545212757432,14.652194076231503,0.0,-4.081742325175928
216.0,38.933040627091174,198.26611059786345,-0.481215367541993,-0.019058916997249507,14.652194076231503,0.0,-4.091697734792955
217.0,39.88525250968344,198.55103641680876,-0.40640190530994547,-0.01910436710450408,14.652194076231503,0.0,-4.101455272481296
218.0,40.844235520923,198.81824226110362,-0.33047998938341094,-0.01914891627883521,14.652194076231503,0.0,-4.111019391771174
